School Name,County,Avg. Annual Salaries Administrators,Avg. Annual Salaries Teachers,Avg. Annual Salaries Support Personnel
Villa Rica High School,Carroll County,71780.86,56956.71,64338.33
Carroll County College and Career Academy,Carroll County,87510.58,59909.21,60244.86
GOAL Program,Carroll County,67021.16,83301.72,64667.41
North College and Career Academy,Carroll County,106000.0,50654.81,64992.34
Ringgold Primary School,Catoosa County,82623.22,56831.64,66128.26
Battlefield Primary,Catoosa County,85063.78,54885.54,58589.28
Battlefield Elementary School,Catoosa County,91935.32,61626.31,69564.91
Woodstation Elementary School,Catoosa County,91742.25,56080.92,64561.77
Heritage High School,Catoosa County,198507.31,124031.18,138698.3
Tiger Creek Elementary School,Catoosa County,82000.14,53638.94,52601.19
Heritage Middle School,Catoosa County,96388.4,59531.02,57395.46
Boynton Elementary School,Catoosa County,77093.79,59935.42,64262.42
Lakeview-Fort Oglethorpe High School,Catoosa County,91269.75,59003.28,76137.45
West Side Elementary School,Catoosa County,194421.88,118602.69,124154.70999999999
Lakeview Middle School,Catoosa County,95037.57,58668.89,57295.22
Cloud Springs Elementary School,Catoosa County,87287.12,52987.27,62523.9
Ringgold Elementary School,Catoosa County,88287.83,58314.8,65589.58
Ringgold High School,Catoosa County,94337.81,60852.03,66799.09
Graysville Elementary School,Catoosa County,91742.25,58998.37,65444.62
Ringgold Middle School,Catoosa County,85127.48,58784.18,69726.37
Catoosa CrossRoads Academy,Catoosa County,105147.03,65773.34,70834.55
Bethune Middle School,Charlton County,104736.91,61744.99,79198.16
Folkston Elementary School,Charlton County,90340.11,52915.81,53047.37
Charlton County High School,Charlton County,97740.44,62937.27,56561.41
St. George Elementary School,Charlton County,140536.88,58616.43,76971.71
Charlton Alternative School Program,Charlton County,0,0,75601.4
Johnson High School,Savannah-Chatham County,179450.47999999998,119604.88,133384.13
UHS of Savannah Coastal Harbor Treatment Center,Savannah-Chatham County,68000.0,51093.17,62637.5
Coastal Empire Montessori Charter School,Savannah-Chatham County,70731.62,51796.87,0
Woodville-Tompkins Technical and Career High School,Savannah-Chatham County,103442.5,59450.06,60566.67
Pulaski Elementary SChool,Savannah-Chatham County,97610.5,55944.23,66893.15
New Hampstead High School,Savannah-Chatham County,102049.25,58526.81,65198.83
Oglethorpe Charter School,Savannah-Chatham County,95204.25,60964.21,68382.67
The STEM Academy at Bartlett,Savannah-Chatham County,88461.5,55793.87,68105.37
Tybee Island Maritime Academy School,Savannah-Chatham County,175000.0,57103.65,66828.33
Savannah Classical Academy Charter School,Savannah-Chatham County,81511.4,53044.02,65299.5
Esther F. Garrison School for the Arts,Savannah-Chatham County,91978.0,59536.34,59543.0
Georgetown School,Savannah-Chatham County,108763.5,54299.34,67343.5
Garden City Elementary School,Savannah-Chatham County,101601.0,60635.86,66234.75
West Chatham Middle School,Savannah-Chatham County,85213.29,58059.11,66300.44
West Chatham Elementary School,Savannah-Chatham County,96166.5,55712.65,69577.33
DeRenne Middle School,Savannah-Chatham County,88369.67,54423.67,65079.38
The School of Liberal Studies at Savannah High,Savannah-Chatham County,87361.4,56187.18,69002.25
Godley Station School,Savannah-Chatham County,94295.75,54990.15,60533.33
Marshpoint Elementary School,Savannah-Chatham County,95713.0,63595.42,65649.5
Southwest Middle School,Savannah-Chatham County,89100.67,54858.2,59311.14
Southwest Elementary School,Savannah-Chatham County,94023.0,56686.42,67334.5
Myers Middle School,Savannah-Chatham County,83576.22,54103.39,62915.83
Coastal Middle School,Savannah-Chatham County,104171.5,63528.92,63016.4
Islands High School,Savannah-Chatham County,90414.33,58426.03,69337.0
Savannah Arts Academy,Savannah-Chatham County,95596.33,64020.98,72591.5
Shuman Elementary School,Savannah-Chatham County,85223.5,50694.0,59277.0
Rice Creek School,Savannah-Chatham County,105153.5,55687.51,59461.83
