School Name,County,BS,MS,S,phd,Total,Post Grad Percentage,Total Students Enrolled,Teacher-Student Ratio,White Percentage,Black Percentage,Econ Disadvantaged Percentage
Emerson Elementary School,Bartow County,23,7,5,0,35,0.34285714285714286,393,11.228571428571428,73.3,6.1,72.3
Ben Hill Elementary School,Ben Hill County,19,15,13,0,47,0.5957446808510638,665,14.148936170212766,42.6,43.0,100.0
Ben Hill County Primary School,Ben Hill County,21,19,22,2,64,0.671875,706,11.03125,43.8,44.1,100.0
Fitzgerald High School,Ben Hill County,17,34,11,0,62,0.7258064516129032,828,13.35483870967742,36.4,44.7,100.0
Ben Hill County Middle School,Ben Hill County,15,20,17,1,53,0.7169811320754716,782,14.754716981132075,40.4,42.3,100.0
Hurricane Transition Academy,Ben Hill County,1,0,0,0,1,0.0,83,83.0,38.6,50.6,100.0
Berrien High School,Berrien County,14,26,13,1,54,0.7407407407407407,881,16.314814814814813,72.8,13.7,41.0
Berrien Academy Performance Learning Center,Berrien County,0,3,2,0,5,1.0,75,15.0,88.0,6.7,38.7
Berrien Middle School,Berrien County,20,20,8,0,48,0.5833333333333334,778,16.208333333333332,73.7,12.1,50.8
Berrien Elementary School,Berrien County,18,19,8,0,45,0.6,710,15.777777777777779,71.5,13.9,100.0
Berrien Primary School,Berrien County,17,31,9,0,57,0.7017543859649122,727,12.75438596491228,70.6,14.3,100.0
Skyview Elementary School,Bibb County,11,10,9,0,30,0.6333333333333333,402,13.4,49.8,37.1,100.0
Burdell Elementary School,Bibb County,10,16,11,0,37,0.7297297297297297,477,12.891891891891891,2.7,93.5,100.0
Howard High School,Bibb County,26,33,12,2,73,0.6438356164383562,1305,17.876712328767123,19.0,66.4,100.0
Ballard Hudson Middle School,Bibb County,25,18,3,0,46,0.45652173913043476,889,19.32608695652174,2.7,92.8,100.0
Bruce Elementary School,Bibb County,16,8,1,0,25,0.36,450,18.0,3.6,91.3,100.0
Central High School,Bibb County,45,53,24,3,125,0.64,1216,9.728,74.0,9.7,44.9
Westside High School,Bibb County,41,43,18,4,106,0.6132075471698113,929,8.764150943396226,21.3,67.4,100.0
Vineville Academy,Bibb County,14,13,7,1,35,0.6,508,14.514285714285714,14.4,77.6,100.0
Rutland High School,Bibb County,20,21,13,1,55,0.6363636363636364,968,17.6,33.6,47.9,100.0
Howard Middle School,Bibb County,25,23,9,2,59,0.576271186440678,1207,20.45762711864407,14.8,71.3,100.0
Northeast High School,Bibb County,15,23,4,4,46,0.6739130434782609,772,16.782608695652176,3.5,93.3,100.0
Miller Magnet Middle School,Bibb County,16,14,6,2,38,0.5789473684210527,604,15.894736842105264,6.6,86.8,100.0
Rutland Middle School,Bibb County,23,23,3,5,54,0.5740740740740741,875,16.203703703703702,29.5,53.6,100.0
Price Academy,Bibb County,2,2,0,0,4,0.5,47,11.75,57.4,29.8,0.0
Williams Elementary School,Bibb County,10,13,3,0,26,0.6153846153846154,342,13.153846153846153,4.4,91.2,100.0
Southwest High School,Bibb County,21,25,5,2,53,0.6037735849056604,841,15.867924528301886,2.7,92.7,100.0
Rosa Taylor Elementary School,Bibb County,13,23,5,0,41,0.6829268292682927,603,14.707317073170731,14.8,72.0,100.0
Weaver Middle School,Bibb County,24,20,13,2,59,0.5932203389830508,1057,17.915254237288135,7.2,82.9,100.0
Heritage Elementary School,Bibb County,25,47,16,2,90,0.7222222222222222,482,5.355555555555555,1.5,88.2,100.0
Union Elementary School,Bibb County,29,22,14,1,66,0.5606060606060606,499,7.5606060606060606,80.8,9.6,45.5
Alexander II Magnet School,Bibb County,15,8,12,0,35,0.5714285714285714,459,13.114285714285714,12.4,78.2,100.0
Bernd Elementary School,Bibb County,11,13,3,2,29,0.6206896551724138,438,15.10344827586207,10.3,83.3,100.0
Porter Elementary School,Bibb County,14,13,2,0,29,0.5172413793103449,391,13.482758620689655,26.3,33.2,100.0
Springdale Elementary School,Bibb County,17,20,3,0,40,0.575,545,13.625,38.3,45.3,100.0
Carter Elementary School,Bibb County,12,13,5,0,30,0.6,457,15.233333333333333,18.6,66.1,100.0
Lane Elementary School,Bibb County,15,11,5,0,31,0.5161290322580645,481,15.516129032258064,7.7,79.0,100.0
Martin Luther King Jr Elementary School,Bibb County,25,8,6,3,42,0.40476190476190477,605,14.404761904761905,1.7,95.2,100.0
Southfield Elementary School,Bibb County,34,11,11,1,57,0.40350877192982454,855,15.0,5.0,79.8,100.0
Veterans Elementary School,Bibb County,24,19,3,0,46,0.4782608695652174,759,16.5,4.2,79.6,100.0
John Robert Lewis Elementary School,Bibb County,46,52,15,6,119,0.6134453781512605,937,7.873949579831932,0.6,3.0,100.0
Hartley Elementary School,Bibb County,10,14,8,1,33,0.696969696969697,521,15.787878787878787,1.5,95.4,100.0
Heard Elementary School,Bibb County,48,59,26,1,134,0.6417910447761194,613,4.574626865671642,82.7,7.2,53.0
Ingram/Pye Elementary School,Bibb County,8,15,7,1,31,0.7419354838709677,423,13.64516129032258,1.2,96.9,100.0
Appling Middle School,Bibb County,22,19,3,3,47,0.5319148936170213,803,17.085106382978722,4.1,91.4,100.0
Bleckley County High School,Bleckley County,11,21,15,1,48,0.7708333333333334,648,13.5,66.8,24.4,43.1
Bleckley Middle School,Bleckley County,14,18,11,0,43,0.6744186046511628,595,13.837209302325581,67.6,26.7,52.9
Bleckley County Success Academy,Bleckley County,1,2,2,0,5,0.8,97,19.4,60.8,32.0,100.0
Bleckley County Elementary School,Bleckley County,10,22,11,0,43,0.7674418604651163,565,13.13953488372093,69.2,23.9,100.0
Bleckley County Primary School,Bleckley County,11,16,14,0,41,0.7317073170731707,629,15.341463414634147,69.0,23.7,100.0
Waynesville Primary School,Brantley County,11,18,3,0,32,0.65625,418,13.0625,89.7,4.5,100.0
Atkinson Elementary School,Brantley County,35,37,11,4,87,0.5977011494252874,444,5.103448275862069,6.3,80.9,100.0
Brantley County Middle School,Brantley County,11,15,9,0,35,0.6857142857142857,522,14.914285714285715,89.5,2.5,100.0
Nahunta Elementary School,Brantley County,11,8,3,0,22,0.5,315,14.318181818181818,91.1,4.1,100.0
Brantley County High School,Brantley County,13,29,10,1,53,0.7547169811320755,991,18.69811320754717,90.5,3.4,100.0
Hoboken Elementary School,Brantley County,18,13,9,0,40,0.55,546,13.65,87.4,2.7,100.0
Nahunta Primary School,Brantley County,12,14,9,1,36,0.6666666666666666,388,10.777777777777779,91.5,3.4,100.0
Brooks County High School,Brooks County,19,11,6,0,36,0.4722222222222222,542,15.055555555555555,34.3,49.6,100.0
Quitman Elementary School,Brooks County,29,10,3,0,42,0.30952380952380953,652,15.523809523809524,19.6,66.4,100.0
Brooks County Middle School,Brooks County,20,11,3,1,35,0.42857142857142855,510,14.571428571428571,28.8,56.1,100.0
North Brooks Elementary School,Brooks County,17,6,4,1,28,0.39285714285714285,433,15.464285714285714,54.7,28.2,100.0
Delta Innovative School,Brooks County,2,5,1,0,8,0.75,129,16.125,21.7,69.8,100.0
Dr. George Washington Carver Elementary School,Bryan County,18,23,2,2,45,0.6,687,15.266666666666667,54.6,17.8,38.9
Richmond Hill High School,Bryan County,36,84,14,3,137,0.7372262773722628,2518,18.37956204379562,61.2,16.7,20.7
Richmond Hill Middle School,Bryan County,41,56,12,2,111,0.6306306306306306,2009,18.0990990990991,62.6,16.5,24.7
Richmond Hill Primary School,Bryan County,25,17,3,0,45,0.4444444444444444,684,15.2,56.4,17.8,30.8
