School Year,System ID,System Name,School ID,School Name,Grade Configuration,Grade Cluster,Number of Students Enrolled,Number of Schools,Title I Status,Title I Schools,Asian/Pacific Islander,American Indian/Alaskan,Black,Hispanic,Multi-Racial,White,Economically Disadvantaged,English Learners,Students with Disability
2021,611,Bibb County,1054,Bernd Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,438,NA,Y,NA,0.0%,0.0%,83.3%,1.8%,4.6%,10.3%,100.0%,0.5%,12.3%
2021,611,Bibb County,1067,Porter Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,391,NA,Y,NA,0.3%,0.0%,33.2%,35.8%,4.3%,26.3%,100.0%,24.6%,9.7%
2021,611,Bibb County,1105,Springdale Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,545,NA,Y,NA,7.5%,0.2%,45.3%,3.1%,5.5%,38.3%,100.0%,5.5%,9.7%
2021,611,Bibb County,1205,Carter Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,457,NA,Y,NA,5.9%,0.2%,66.1%,4.8%,4.4%,18.6%,100.0%,6.6%,12.5%
2021,611,Bibb County,1305,Lane Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,481,NA,Y,NA,2.9%,0.4%,79.0%,4.8%,5.2%,7.7%,100.0%,6.0%,8.3%
2021,611,Bibb County,1306,Martin Luther King Jr Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,605,NA,Y,NA,0.0%,0.0%,95.2%,1.5%,1.7%,1.7%,100.0%,0.3%,11.7%
2021,611,Bibb County,1307,Southfield Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,855,NA,Y,NA,0.0%,0.4%,79.8%,11.8%,3.0%,5.0%,100.0%,9.9%,7.8%
2021,611,Bibb County,1309,Veterans Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,759,NA,Y,NA,0.8%,0.1%,79.6%,13.3%,2.0%,4.2%,100.0%,9.6%,12.4%
2021,611,Bibb County,1310,John Robert Lewis Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,687,NA,Y,NA,0.0%,0.1%,95.6%,1.2%,1.6%,1.5%,100.0%,1.2%,10.0%
2021,611,Bibb County,2060,Hartley Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,521,NA,Y,NA,0.0%,0.0%,95.4%,1.9%,1.2%,1.5%,100.0%,0.8%,7.3%
2021,611,Bibb County,3060,Heard Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,535,NA,Y,NA,0.9%,0.0%,42.1%,8.0%,5.0%,43.9%,100.0%,4.5%,9.7%
2021,611,Bibb County,3067,Ingram/Pye Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,423,NA,Y,NA,0.0%,0.0%,96.9%,0.7%,1.2%,1.2%,100.0%,0.2%,12.1%
2021,611,Bibb County,5050,Appling Middle School,"06, 07, 08",ALL,803,NA,Y,NA,0.0%,0.0%,91.4%,1.7%,2.7%,4.1%,100.0%,0.4%,14.1%
2021,611,Bibb County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",ALL,22542,34,NA,100.00%,1.3%,0.1%,77.3%,5.7%,3.1%,12.5%,99.8%,3.5%,11.8%
2021,612,Bleckley County,0105,Bleckley County High School,"09, 10, 11, 12",ALL,648,NA,Y,NA,1.4%,0.0%,24.4%,3.5%,3.9%,66.8%,43.1%,0.2%,13.0%
2021,612,Bleckley County,0112,Bleckley Middle School,"06, 07, 08",ALL,595,NA,Y,NA,0.7%,0.2%,26.7%,3.5%,1.3%,67.6%,52.9%,0.8%,16.8%
2021,612,Bleckley County,0115,Bleckley County Success Academy,"06, 07, 08, 09, 10, 11, 12",ALL,97,NA,Y,NA,0.0%,0.0%,32.0%,3.1%,4.1%,60.8%,100.0%,0.0%,29.9%
2021,612,Bleckley County,0197,Bleckley County Elementary School,"03, 04, 05",ALL,565,NA,Y,NA,0.7%,0.4%,23.9%,2.5%,3.4%,69.2%,100.0%,0.0%,21.9%
2021,612,Bleckley County,1050,Bleckley County Primary School,"PK, KK, 01, 02",ALL,629,NA,Y,NA,0.6%,0.0%,23.7%,2.9%,3.8%,69.0%,100.0%,0.6%,14.9%
2021,612,Bleckley County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",ALL,2534,5,NA,100.00%,0.8%,0.1%,24.9%,3.1%,3.2%,67.8%,74.4%,0.4%,17.0%
2021,613,Brantley County,0101,Waynesville Primary School,"PK, KK, 01, 02, 03",ALL,418,NA,Y,NA,0.0%,0.0%,4.5%,2.6%,3.1%,89.7%,100.0%,0.5%,11.2%
2021,613,Brantley County,0110,Atkinson Elementary School,"04, 05, 06",ALL,297,NA,Y,NA,0.0%,0.0%,2.7%,4.0%,3.7%,89.6%,100.0%,1.0%,16.2%
2021,613,Brantley County,0194,Brantley County Middle School,"07, 08",ALL,522,NA,Y,NA,0.2%,0.0%,2.5%,5.0%,2.9%,89.5%,100.0%,0.6%,13.8%
2021,613,Brantley County,0294,Nahunta Elementary School,"04, 05, 06",ALL,315,NA,Y,NA,0.6%,0.0%,4.1%,1.9%,2.2%,91.1%,100.0%,0.3%,13.3%
2021,613,Brantley County,1050,Brantley County High School,"09, 10, 11, 12",ALL,991,NA,N,NA,0.2%,0.3%,3.4%,3.6%,1.9%,90.5%,100.0%,0.2%,14.0%
2021,613,Brantley County,2050,Hoboken Elementary School,"PK, KK, 01, 02, 03, 04, 05, 06",ALL,546,NA,Y,NA,0.4%,0.0%,2.7%,4.4%,5.1%,87.4%,100.0%,0.7%,13.7%
2021,613,Brantley County,3050,Nahunta Primary School,"PK, KK, 01, 02, 03",ALL,388,NA,Y,NA,0.3%,0.0%,3.4%,2.6%,2.3%,91.5%,100.0%,0.8%,12.9%
2021,613,Brantley County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",ALL,3477,7,NA,85.70%,0.2%,0.1%,3.3%,3.6%,2.9%,89.8%,100.0%,0.5%,13.6%
2021,614,Brooks County,0110,Brooks County High School,"09, 10, 11, 12",ALL,542,NA,Y,NA,0.2%,0.0%,49.6%,13.1%,2.8%,34.3%,100.0%,2.2%,14.2%
2021,614,Brooks County,0193,Quitman Elementary School,"KK, 01, 02, 03, 04, 05",ALL,652,NA,Y,NA,0.0%,0.0%,66.4%,12.4%,1.5%,19.6%,100.0%,9.4%,7.7%
