School Name,Absent <=5D Percentage,Absent 6D-15D Percentage,Absent >15D Percentage
Cooper Middle School,67.9,18.9,13.1
Big Shanty Elementary School,66.7,25.8,7.5
McClure Middle School,75.9,17.7,6.4
Bryant Elementary School,45.8,33.2,21.0
Palmer Middle School,75.9,18.0,6.1
Lovinggood Middle School,86.1,10.3,3.6
Hillgrove High School,80.2,13.8,6.1
Devereux Ackerman Academy,100.0,0.0,0.0
Cobb Horizon High School,21.5,18.5,60.0
Belmont Hills Elementary School,62.2,24.9,12.9
Campbell High School,59.6,19.8,20.5
East Cobb Middle School,55.1,23.3,21.7
Garrett Middle School,54.1,21.7,24.2
McEachern High School,61.7,21.5,16.8
Norton Park Elementary School,50.6,31.1,18.3
Powers Ferry Elementary School,52.8,29.4,17.8
Wheeler High School,69.1,18.0,13.0
Argyle Elementary School,52.1,29.3,18.6
North Cobb High School,68.8,18.6,12.6
King Springs Elementary School,81.7,14.6,3.7
Osborne High School,45.8,22.6,31.6
Griffin Middle School,62.0,22.5,15.5
South Cobb High School,57.7,20.6,21.6
Fair Oaks Elementary School,54.4,31.3,14.3
LaBelle Elementary School,53.4,33.0,13.5
Milford Elementary School,48.6,36.0,15.4
Russell Elementary School,37.9,42.6,19.6
Compton Elementary School,47.7,31.9,20.4
Awtrey Middle School,62.1,24.7,13.3
Daniell Middle School,66.6,19.5,13.9
Pebblebrook High School,39.2,24.9,35.9
Teasley Elementary School,78.5,16.2,5.2
Hollydale Elementary School,64.2,24.1,11.7
Bells Ferry Elementary School,67.6,24.4,8.0
Brumby Elementary School,54.2,32.0,13.8
Due West Elementary School,79.1,17.1,3.8
Floyd Middle School,54.1,24.0,21.9
Sedalia Park Elementary School,59.0,29.4,11.5
Eastvalley Elementary School,79.7,16.8,3.5
Indian Creek Elementary,55.5,36.9,7.6
Coffee Middle School,41.4,38.0,20.7
Wiregrass Regional College and Career Academy,78.9,14.6,6.6
Satilla Elementary School,41.1,41.3,17.5
Broxton-Mary Hayes Elementary,48.3,29.8,21.9
Coffee County High School,41.9,32.1,26.0
Eastside Elementary School,49.3,41.8,8.9
Nicholls Elementary School,40.3,41.2,18.5
George Washington Carver Freshman Campus,55.3,30.9,13.7
West Green Elementary School,40.4,42.7,16.9
Westside Elementary School,57.6,37.7,4.7
Willie J. Williams Middle School,34.6,39.3,26.1
Doerun Elementary School,33.6,41.9,24.6
Odom Elementary School,41.0,42.9,16.1
Norman Park Elementary School,43.7,41.7,14.6
Colquitt County High School,41.1,30.8,28.1
Funston Elementary School,53.1,35.4,11.5
Wright Elementary School,59.0,35.1,5.9
Stringfellow Elementary School,33.7,40.8,25.5
CA Gray Junior High School,32.2,36.4,31.3
Okapilco Elementary School,35.8,41.9,22.3
Cox Elementary School,33.6,37.2,29.2
Hamilton Elementary School,51.6,40.9,7.5
Sunset Elementary School,50.6,37.2,12.3
Greenbrier Middle School,57.2,35.1,7.7
Lewiston Elementary School,52.4,36.3,11.3
Grovetown Middle School,50.6,35.4,14.1
River Ridge Elementary,58.2,34.1,7.6
Evans Middle School,49.8,28.3,21.9
Stallings Island Middle School,57.0,33.6,9.4
Grovetown High School,47.2,32.3,20.6
Westmont Elementary School,46.3,38.2,15.4
Harlem High School,38.7,36.6,24.7
Evans Elementary School,50.1,40.1,9.9
Blue Ridge Elementary School,63.4,31.0,5.6
Lakeside High School,86.2,8.6,5.2
Brookwood Elementary School,67.7,29.1,3.3
Stevens Creek Elementary School,55.6,35.4,9.0
Riverside Middle School,51.5,37.2,11.3
Riverside Elementary School,93.3,5.9,0.8
Greenbrier High School,48.7,36.2,15.1
Cedar Ridge Elementary School,51.7,35.0,13.3
Baker Place Elementary,55.8,35.2,8.9
Harlem Middle School,45.8,35.7,18.5
Lakeside Middle School,58.9,28.1,13.0
Greenbrier Elementary School,53.6,37.8,8.6
Euchee Creek Elementary School,48.2,39.3,12.6
Parkway Elementary School,53.7,38.0,8.3
Columbia Middle School,37.6,17.9,44.6
Martinez Elementary School,54.4,34.4,11.2
North Columbia Elementary School,41.3,38.8,19.9
Evans High School,51.4,29.0,19.6
North Harlem Elementary School,38.5,40.5,21.0
Grovetown Elementary School,50.2,35.1,14.7
South Columbia Elementary School,46.1,39.7,14.1
Cook County Middle School,52.9,34.5,12.6
Cook Elementary School,46.7,39.4,13.9
Cook High School,25.9,39.7,34.4
Cook Primary School,39.5,40.7,19.8
Arbor Springs Elementary,70.3,26.3,3.4
Willis Road Elementary,65.3,28.7,6.0
Lee Middle School,69.5,22.0,8.5
Brooks Elementary,67.4,26.6,6.0
White Oak Elementary School,79.5,18.5,2.1
Canongate Elementary School,63.1,30.7,6.1
Newnan Crossing Elementary School,70.9,23.9,5.1
Jefferson Parkway Elementary School,46.4,30.7,22.9
Northgate High School,66.3,23.8,9.9
Poplar Road Elementary School,57.1,28.8,14.1
Welch Elementary School,61.7,30.4,7.9
Glanton Elementary,60.0,29.8,10.2
East Coweta Middle School,65.7,23.8,10.6
Thomas Crossroads Elementary School,75.8,20.7,3.5
Madras Middle School,74.9,20.6,4.6
Smokey Road Middle School,64.6,25.4,10.0
East Coweta High School,75.2,17.4,7.5
Arnall Middle School,72.2,19.7,8.1
Arnco-Sargent Elementary School,57.4,29.2,13.5
Ruth Hill Elementary School,42.8,40.9,16.3
Northside Elementary School,16.1,34.2,49.7
Elm Street Elementary School,57.9,30.5,11.7
Moreland Elementary School,67.9,26.5,5.6
Newnan High School,66.3,20.2,13.5
Western Elementary School,49.9,39.9,10.2
Crawford County High School,24.4,32.4,43.2
Crawford County Middle School,49.2,36.1,14.7
Crisp County Primary School,29.4,38.3,32.3
Crisp County High School,39.4,27.6,32.9
Crisp County Middle School,52.2,30.1,17.6
Crisp County Elementary School,30.1,29.3,40.6
Dade Elementary School,54.3,36.4,9.3
Dade County High School,50.7,36.8,12.5
Dade Middle School,51.5,32.1,16.4
Kilough Elementary School,45.8,42.2,12.1
Dawson County Middle School,41.0,42.0,17.0
Dawson County Junior High,35.9,40.6,23.5
Riverview Elementary School,43.5,43.2,13.3
Robinson Elementary School,47.9,42.7,9.4
Black's Mill Elementary School,44.0,45.8,10.3
West Bainbridge Elementary School,42.4,41.2,16.4
New Beginning Learning Center,34.5,18.0,47.5
Potter Street Elementary School,41.8,36.8,21.4
Bainbridge Middle School,37.3,33.8,28.9
Hutto Middle School,50.5,29.8,19.6
Bainbridge High School,28.9,33.7,37.3
John Johnson Elementary School,51.9,38.4,9.7
Jones-Wheat Elementary School,47.9,36.1,16.0
Narvie Harris Elementary School,90.3,7.5,2.2
Wynbrooke Elementary School,68.3,20.7,11.0
Miller Grove High School,40.9,21.7,37.4
Flat Rock Elementary School,50.9,24.5,24.5
